Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	2. Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	Fingierter Brieftitel	Absenderort	Gaz-ID AO	Wann der Brief verfasst wurde	Umfang des Briefes	Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Empfängerort	ga-ID EO	Briefzusammenhang
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1838-07-25	6 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Anagni		1839-07-06	4 Seiten.	Braun, Emil,	116415738					Warschau	2097776	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Ohne Ort		1838-10-24	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Heinrich	116001291			Brief von Heinrich Abeken an Unbekannt.	Berlin	2282601	1857-08-08	4 Seiten.	Unbekannt						Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Heinrich Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-08-14	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-07-22	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Frascati	2338558	1840-07-21	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1840-07-17	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1840-06-27	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-11-09	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-09-07	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-08-13	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-08-17	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-07-23	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1839-07-16	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Ohne Ort.			2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Osnabrück		1842-09-07	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Florenz	2359590	1842-05-05	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1841-08-21	2 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Rom	2323295	1841-08-08	4 Seiten.	Braun, Emil,	116415738					Warschau	2097774	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
